Simulations	GetToGoal return	GetToGoal error	NumberOfCollision return	NumberOfCollision error	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	TreeDepth return	TreeDepth error
1	0.96	0.0195959	32.94	2.83873	100	0.96	0.0195959	0.401349	0.0277	0	0	0.0263307
2	1	0	26.49	2.24733	100	1	0	0.456683	0.0249361	0	0	0.0367495
4	0.69	0.0462493	62.27	7.68533	100	0.69	0.0462493	0.453049	0.0335147	0	0	0.0628578
8	0.68	0.0466476	62.18	7.95375	100	0.68	0.0466476	0.496832	0.0366785	0	0	0.113478
16	0.74	0.0438634	51.07	7.4651	100	0.74	0.0438634	0.56163	0.0355862	0	0	0.194109
32	0.78	0.0414246	44.51	7.10733	100	0.78	0.0414246	0.599804	0.0340612	0	0	0.297316
64	0.61	0.048775	73.38	8.60518	100	0.61	0.048775	0.504402	0.0409057	0.00069869	0.000119111	0.602416
128	0.85	0.0357071	28.5	6.316	100	0.85	0.0357071	0.767572	0.0329624	0.0211572	0.00142297	0.567797
256	0.95	0.0217945	9.42	3.89826	100	0.95	0.0217945	0.905415	0.0211494	0.0100437	0.000683514	0.389851
512	0.95	0.0217945	9.69	4.01217	100	0.95	0.0217945	0.91619	0.0213551	0.00713974	0.000457844	0.516417
1024	1	0	0	0	100	1	0	0.979806	0.000167193	0.00668122	7.44922e-05	0.288744
2048	1	0	0	0	100	1	0	0.9801	4.71216e-09	0.00655022	-nan	0.314913
4096	1	0	0	0	100	1	0	0.9801	4.71216e-09	0.00655022	-nan	0.347123
8192	1	0	0	0	100	1	0	0.9801	4.71216e-09	0.00655022	-nan	0.38171
16384	1	0	0	0	100	1	0	0.9801	4.71216e-09	0.00655022	-nan	0.421955
32768	1	0	0	0	100	1	0	0.9801	4.71216e-09	0.00655022	-nan	0.478628
65536	1	0	0	0	100	1	0	0.9801	4.71216e-09	0.00655022	-nan	0.632902
