Simulations	GetToGoal return	GetToGoal error	NumberOfCollision return	NumberOfCollision error	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	TreeDepth return	TreeDepth error
1	0.88	0.0324962	44.28	3.10567	100	0.88	0.0324962	0.278212	0.0238215	0	0	0.00090802
2	0.99	0.00994987	22.53	1.95609	100	0.99	0.00994987	0.471776	0.0202082	0	0	0.00078865
4	1	0	12.07	0.843476	100	1	0	0.664483	0.0171523	0	0	0.00063841
8	1	0	13.81	1.1074	100	1	0	0.635797	0.0176427	0	0	0.00149799
16	1	0	9.99	0.728628	100	1	0	0.717143	0.0131577	0	0	0.00199604
32	1	0	8.95	0.688967	100	1	0	0.755308	0.0122312	0.0620961	0.00395218	0.00323133
64	1	0	6.61	0.459107	100	1	0	0.81729	0.00783592	0.0427511	0.00224905	0.00413023
128	1	0	5.16	0.329156	100	1	0	0.856102	0.00515744	0.0596288	0.00273679	0.00568871
256	1	0	4.35	0.262059	100	1	0	0.879355	0.00384294	0.0498035	0.00193418	0.00865315
512	1	0	3.77	0.192798	100	1	0	0.890633	0.00266803	0.0532314	0.00169373	0.0133657
1024	1	0	3.26	0.0642184	100	1	0	0.899456	0.00102241	0.0524236	0.000662616	0.0204146
2048	1	0	3.34	0.0473709	100	1	0	0.898263	0.000852543	0.0487773	0.000606044	0.0327885
4096	1	0	3.21	0.0407308	100	1	0	0.900603	0.000733041	0.0464192	0.000533592	0.0465961
8192	1	0	3.27	0.0443959	100	1	0	0.899523	0.000799003	0.0472052	0.000581606	0.0678633
16384	1	0	3.26	0.0438634	100	1	0	0.899703	0.000789419	0.0470742	0.00057463	0.104441
32768	1	0	3.28	0.0448999	100	1	0	0.899343	0.000808072	0.0473362	0.000588208	0.180985
65536	1	0	3.23	0.0420833	100	1	0	0.900243	0.000757381	0.0466812	0.000551309	0.365182
