Simulations	GetToGoal return	GetToGoal error	NumberOfCollision return	NumberOfCollision error	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	TreeDepth return	TreeDepth error
1	0.06	0.0237487	13.13	1.01071	100	0.06	0.0237487	0.00223848	0.00110597	0	0	0.0059449
2	0.03	0.0170587	11.07	1.0078	100	0.03	0.0170587	0.00402857	0.00277677	0	0	0.0118172
4	0.11	0.031289	11.54	0.886388	100	0.11	0.031289	0.00850493	0.0033886	0	0	0.0229997
8	0.22	0.0414246	15.74	1.16821	100	0.22	0.0414246	0.00888224	0.00235833	0	0	0.043728
16	0.39	0.048775	16.93	1.17442	100	0.39	0.048775	0.0306225	0.00533812	0	0	0.0821119
32	0.66	0.0473709	16.4	1.16705	100	0.66	0.0473709	0.0404546	0.00490288	0	0	0.155676
64	0.97	0.0170587	16.16	1.06195	100	0.97	0.0170587	0.0956282	0.00864787	0.00155022	0.000155298	0.230368
128	1	0	13.17	0.976632	100	1	0	0.154556	0.0105785	0.462533	0.016558	0.370344
256	1	0	10.93	0.737191	100	1	0	0.211192	0.01038	0.368079	0.0121059	0.598121
512	1	0	8.12	0.610619	100	1	0	0.310617	0.0109446	0.272467	0.00866553	0.905434
1024	1	0	7.66	0.559682	100	1	0	0.372064	0.0108586	0.448428	0.0141585	1.63031
2048	1	0	6.68	0.4806	100	1	0	0.454361	0.00888105	0.349258	0.00878766	2.57903
4096	1	0	5.56	0.476932	100	1	0	0.520357	0.00905616	0.300983	0.00841036	4.28228
8192	1	0	5.4	0.431972	100	1	0	0.561893	0.00779876	0.378472	0.00953052	7.48156
16384	1	0	4.48	0.416048	100	1	0	0.606762	0.00777515	0.33976	0.00982353	13.1443
32768	1	0	4.54	0.410955	100	1	0	0.63422	0.00713563	0.327358	0.00973722	22.1959
65536	1	0	3.76	0.387329	100	1	0	0.666589	0.00699298	0.358865	0.0107493	39.2306
